[6769,1675] [6480,1073] 
[59865,32026] [59156,32156] 
[21811,16721] [21016,16315] 
[57122,87114] [57568,87438] 
[37665,59126] [37357,59474] 
[87107,29281] [87090,29069] 
[4497,30335] [4190,30677] 
[1734,89561] [1382,89119] 
[69778,24010] [69136,24200] 
[59848,32107] [59231,32756] 
[40838,42987] [40571,42734] 
[99419,25049] [99770,25826] 
[20699,40933] [20076,40729] 
[61867,91844] [61771,91554] 
[45053,9073] [45153,9267] 
[53352,68853] [53154,68778] 
[1569,89300] [1333,89893] 
[32131,32682] [32709,32930] 
[96191,21440] [96783,21559] 
[26354,23816] [26589,23937] 
[40468,42247] [40629,42357] 
[19646,56860] [19145,56370] 
[54146,10218] [54124,10446] 
[24794,72847] [24504,72662] 
[43015,24524] [43365,24674] 
[24107,72836] [24948,72761] 
[40532,42557] [40859,42393] 
[70270,50461] [70510,50160] 
[99269,25783] [99552,25462] 
[87260,29971] [87036,29138] 
[97113,12540] [97221,12668] 
[14924,3657] [14582,3211] 
[55626,67712] [55052,67895] 
[79626,96338] [79300,96526] 
[92633,82302] [92485,82903] 
[35835,94233] [35724,94112] 
[34787,971] [34525,700] 
[71801,38568] [71403,38389] 
[39288,58675] [39985,58242] 
[75396,33406] [75333,33653] 
[13745,68568] [13797,68825] 
[97883,12002] [97106,12019] 
[83198,22203] [83907,22595] 
[84616,54977] [84145,54757] 
[23915,41667] [23928,41315] 
[85721,53251] [85667,53359] 
[4286,30468] [4553,30976] 
[57984,87110] [57097,87367] 
[28054,93736] [28123,93427] 
[71502,38286] [71845,38500] 
[39500,58564] [39077,58568] 
[23938,41683] [23240,41332] 
[2085,53734] [2998,53086] 
[2024,53193] [2891,53621] 
[91437,4853] [91665,4041] 
[79172,96389] [79616,96558] 
[84826,54645] [84115,54737] 
[93036,48754] [93475,48267] 
[72860,22910] [72374,22983] 
[79425,96326] [79556,96487] 
[48070,83607] [48541,83397] 
[85529,53041] [85227,53410] 
[98491,3277] [98393,3554] 
[98785,3405] [98763,3479] 
[88286,6414] [88007,6363] 
[61083,91430] [61855,91738] 
[42934,62774] [42295,62923] 
[11602,60737] [11901,60901] 
[2599,53123] [2443,53731] 
[99688,25644] [99163,25988] 
